Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Fernando Roberto Moreira Salles,2.3,Brazil,"banking, minerals",1362,74,"Sao Paulo, Brazil",Brazil,Married,2,"Bachelor of Arts/Science, Fundacao Getulio Vargas",False
Joao Moreira Salles,2.3,Brazil,"banking, minerals",1362,59,"Rio de Janeiro, Brazil",Brazil,Divorced,1,,False
Walther Moreira Salles Junior,2.3,Brazil,"banking, minerals",1362,65,"Rio de Janeiro, Brazil",Brazil,Married,1,"Bachelor of Arts/Science, University of Southern California",False
Eugene Murtagh,2.3,Ireland,building materials,1362,78,"Kingscourt, Ireland",Ireland,Widowed,5,,True
Nihat Ozdemir,2.3,Turkey,diversified,1362,71,"Ankara, Turkey",Turkey,Widowed,2,,True
Gretel Packer,2.3,Australia,casinos,1362,55,"Sydney, Australia",Australia,Divorced,3,,False
Andrew Paradise,2.3,United States,★,1362,39,"San Francisco, California",United States,,,"Bachelor of Arts/Science, University of Massachusetts",True
Karl-Johan Persson,2.3,Sweden,H&M,1362,46,"Stockholm, Sweden",Sweden,Married,2,"Bachelor of Arts/Science, London Business School",False
Tom Persson,2.3,Sweden,H&M,1362,36,"Stockholm, Sweden",Sweden,Married,,,False
Stewart Rahr,2.3,United States,drug distribution,1362,75,"New York, New York",United States,Divorced,2,"Bachelor of Arts/Science, New York University",False
Krit Ratanarak,2.3,Thailand,"media, real estate",1362,75,"Bangkok, Thailand",Thailand,Divorced,1,,False
Michael Saylor,2.3,United States,cryptocurrency,1362,56,"Vienna, Virginia",United States,Single,,"Bachelor of Arts/Science, Massachusetts Institute of Technology",True
"Karl Scheufele, III. & family",2.3,Switzerland,jewelry,1362,82,"Geneva, Switzerland",Switzerland,Married,2,,True
Stephan Schmidheiny,2.3,Switzerland,investments,1362,73,"Hurden, Switzerland",Switzerland,Married,2,"Doctorate, University of Zurich",False
Vijay Shekhar Sharma,2.3,India,financial technology,1362,42,"Delhi, India",India,Married,1,"Bachelor of Science in Engineering, Delhi University",True
Charlotte Soderstrom,2.3,Sweden,H&M,1362,44,"Stockholm, Sweden",Sweden,Married,3,,False
Sun Huaiqing & family,2.3,China,cosmetics,1362,51,"Guangzhou, China",China,Married,,"EMBA, Guanghua School of Management",True
Sze Man Bok,2.3,China,hygiene products,1362,71,"Jinjiang, China",China,Married,1,,True
Katsumi Tada,2.3,Japan,real estate,1362,75,"Tokyo, Japan",Japan,Married,3,,True
Ted Turner,2.3,United States,cable television,1362,82,"Atlanta, Georgia",United States,Divorced,5,"Bachelor of Arts/Science, Brown University",False
Jitendra Virwani,2.3,India,real estate,1362,55,"Bangalore, India",India,Married,4,"Bachelor of Commerce, Bangalore University",False
Arkady Volozh,2.3,Russia,search engine,1362,57,"Moscow, Russia",Russia,Married,3,"Master of Science, Gubkin Russian State University of Oil and Gas",True
Lang Walker,2.3,Australia,real estate,1362,75,"Sydney, Australia",Australia,Married,3,"Diploma, High School",True
Wei Ying-Chiao,2.3,Taiwan,"food, beverages",1362,66,"Taipei, Taiwan",Taiwan,Married,5,,True
Wu Zhongyi,2.3,China,electronics,1362,47,"Xiamen, China",China,,,"Bachelor of Arts/Science, Shenzhen University",True
Elaine Wynn,2.3,United States,"casinos, hotels",1362,79,"Las Vegas, Nevada",United States,Divorced,2,"Bachelor of Arts/Science, George Washington University",True
Xu Chuanhua & family,2.3,China,"chemicals, logistics",1362,86,"Hangzhou, China",China,Married,2,,True
Jerry Yang,2.3,United States,Yahoo,1362,52,"Los Altos Hills, California",United States,Married,2,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University",True
Yang Weidong & family,2.3,China,chemicals,1362,52,"Jiaxing, China",China,Married,,,True
Barry Zekelman,2.3,Canada,steel,1362,54,"Windsor, Canada",Canada,,,"Drop Out, York University",False
Zhang Xuezheng,2.3,China,telecom,1362,45,"Jiaxing, China",China,,,,True
Zhang Yin,2.3,China,paper manufacturing,1362,64,"Dongguan, China",China,Married,2,,True
Kostyantin Zhevago,2.3,Ukraine,mining,1362,47,"Kiev, Ukraine",Ukraine,Married,2,"Bachelor of Arts/Science, Kiev State Economic University",True
Jose Joao Abdalla Filho,2.2,Brazil,investments,1444,75,"Rio de Janeiro, Brazil",Brazil,,,,False
Abdulla Al Futtaim & family,2.2,United Arab Emirates,"auto dealers, investments",1444,,"Dubai, United Arab Emirates",United Arab Emirates,Married,,,False
Ramon Ang,2.2,Philippines,Diversified,1444,67,"Manila, Philippines",Philippines,Married,8,"Bachelor of Engineering, Far Eastern University",True
Bill Austin,2.2,United States,hearing aids,1444,79,"Brownsville, Texas",United States,Married,,"High School Graduate, High School",True
Acharya Balkrishna,2.2,India,consumer goods,1444,48,"Haridwar, India",India,Single,,,True
Richard Barton,2.2,United States,Zillow,1444,53,"Seattle, Washington",United States,Married,3,"Bachelor of Science, Stanford University",True
Edward Bass,2.2,United States,"oil, investments",1444,75,"Fort Worth, Texas",United States,Married,1,"Bachelor of Arts/Science, Yale University",False
Thor Bjorgolfsson,2.2,Iceland,investments,1444,54,"London, United Kingdom",Iceland,Married,3,"Bachelor of Arts/Science, New York University",True
Nikolai Buinov,2.2,Russia,"oil, gas",1444,53,"Irkutsk, Russia",Russia,Married,2,,True
Bruce Cheng,2.2,Taiwan,electronics,1444,85,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Cheng Kung University",True
Chin Jong Hwa,2.2,Taiwan,auto parts,1444,62,"Taoyuan, Taiwan",Taiwan,Married,2,"Diploma, China University of Technology",True
Jai Hari & Yadu Hari Dalmia & family,2.2,India,cement,1444,,"Delhi, India",India,Married,,,False
Dermot Desmond,2.2,Ireland,finance,1444,70,"Dublin, Ireland",Ireland,Married,4,,True
K. Dinesh,2.2,India,software services,1444,66,"Bangalore, India",India,Married,2,"Master of Science, Bangalore University",True
"Frank Fertitta, III.",2.2,United States,"casinos, mixed martial arts",1444,59,"Las Vegas, Nevada",United States,Married,3,"Bachelor of Arts/Science, University of Southern California",False
Lorenzo Fertitta,2.2,United States,"casinos, mixed martial arts",1444,52,"Las Vegas, Nevada",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, U of San Diego",False
Maria Franca Fissolo,2.2,Italy,"Nutella, chocolates",1444,86,"Monaco, Monaco",Italy,Widowed,2,,False
Serge Godin,2.2,Canada,information technology,1444,71,"Westmount, Canada",Canada,Married,2,"Master of Business Administration, Laval University",True
Gu Wei,2.2,China,consumer electronics,1444,56,"Shenzhen, China",China,Married,2,,True
Jeffrey Gundlach,2.2,United States,investments,1444,62,"Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Dartmouth College",True
Guo Jiangang,2.2,China,household appliances,1444,54,"Foshan, China",China,,,,True
Carlos Hank Rhon,2.2,Mexico,banking,1444,73,"Mexico City, Mexico",Mexico,Married,3,"Bachelor of Science in Engineering, Universidad Nacional Autonoma de Mexico",False
Gerry Harvey,2.2,Australia,retail,1444,81,"Sydney, Australia",Australia,Married,4,,True
Huang Guanlin,2.2,China,"textiles, apparel",1444,56,"Ningbo, China",China,,,"Bachelor of Engineering, Zhejiang University of Technology",True
Huang Wei,2.2,China,real estate,1444,61,"Hangzhou, China",China,Married,,Wenzhou Normal College,True
Hui Lin Chit,2.2,China,hygiene products,1444,67,"Jinjiang, China",China,Married,3,,True
Randal J. Kirk,2.2,United States,pharmaceuticals,1444,67,"Manalapan, Florida",United States,Married,3,"Bachelor of Arts/Science, Radford; Doctor of Jurisprudence, University of Virginia",True
Leo Koguan,2.2,United States,IT provider,1444,66,"Sugar Land, Texas",United States,Divorced,2,"Master, Columbia University; Law Degree, New York Law School",True
Miguel Krigsner,2.2,Brazil,cosmetics,1444,71,"Sao Jose dos Pinhais, Brazil",Brazil,Married,2,,True
Kwek Leng Kee,2.2,Singapore,diversified,1444,66,"Singapore, Singapore",Singapore,Married,,,False
Thomas Kwok,2.2,Hong Kong,real estate,1444,69,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Engineering, Imperial College London; Master of Business Administration, London Business School",False
Lau Cho Kun,2.2,Malaysia,"palm oil, property",1444,85,"Tawau, Sabah, Malaysia",Malaysia,Married,1,,False
Jeff Lawson,2.2,United States,software,1444,43,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, University of Michigan",True
Max Levchin,2.2,United States,fintech,1444,45,"San Francisco, California",United States,Married,2,"Bachelor of Science, University of Illinois Urbana Champaign",True
Li Guoqing,2.2,China,Petro Fibre,1444,51,"Hangzhou, China",China,,,,True
Li Shuirong,2.2,China,petrochemicals,1444,64,"Hangzhou, China",China,Married,1,,True
Li Yongqing,2.2,China,Petro Firbe,1444,56,"Hangzhou, China",China,,,,True
Liang Xinjun,2.2,China,conglomerate,1444,53,"Shanghai, China",China,Married,1,"Bachelor of Arts/Science, Fudan University; Bachelor of Arts/Science, Fudan University",True
Lin Chang Su-O,2.2,Taiwan,real estate,1444,80,"Taipei, Taiwan",Taiwan,Widowed,4,,False
Lin Fanlian,2.2,China,"energy, real estate",1444,59,"Linyi, China",China,,,,True
Scott Lin,2.2,Taiwan,optical components,1444,88,"Taichung, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Chung Hsing University",True
Mao Zhongwu,2.2,China,manufacturing,1444,58,"Changsha, China",China,Married,,"Bachelor of Arts/Science, National University of Singapore",True
David McMurtry,2.2,United Kingdom,manufacturing,1444,81,"Wotton-under-Edge, United Kingdom",United Kingdom,Married,3,,True
Rubens Menin Teixeira de Souza,2.2,Brazil,"home building, banking",1444,65,"Belo Horizonte, Brazil",Brazil,Married,3,"Bachelor of Arts/Science, Universidade Federal de Minas Gerais",True
Mi Enhua,2.2,China,retail,1444,63,"Urumqi, China",China,Married,,,True
Bob Parsons,2.2,United States,web hosting,1444,70,"Scottsdale, Arizona",United States,Married,,"Bachelor of Arts/Science, University of Baltimore",True
Catherine Phillips,2.2,Canada,investments,1444,,"Toronto, Canada",Canada,Married,,,True
John Phillips,2.2,Canada,investments,1444,70,"Toronto, Canada",Canada,Married,,"Law Degree, University of Toronto; Bachelor of Arts/Science, University of Toronto (Trinity College)",True
Arvind Poddar,2.2,India,tires,1444,63,"Mumbai, India",India,Married,2,,False
Qian Ying,2.2,China,pig breeding,1444,55,"Nanyang, China",China,Married,,,True
Phillip T. (Terry) Ragon,2.2,United States,health IT,1444,71,"Boston, Massachusetts",United States,Married,,"Bachelor of Arts/Science, Massachusetts Institute of Technology",True
Alberto Roemmers,2.2,Argentina,pharmaceuticals,1444,94,"Buenos Aires, Argentina",Argentina,Married,4,,False
Shashi & Ravi Ruia,2.2,India,diversified,1444,,"Mumbai, India",India,,,,False
Vlad Shmunis,2.2,United States,cloud technology,1444,60,"San Francisco, California",United States,Married,,"Bachelor of Science, San Francisco State University; Master of Science, San Francisco State University",True
Alberto Siccardi & family,2.2,Switzerland,medical devices,1444,77,"Lugano, Switzerland",Switzerland,Married,3,"Master of Business Administration, SDA Bocconi School of Management; Bachelor of Science, University of Turin",True
Sebastian Siemiatkowski,2.2,Sweden,fintech,1444,39,"Stockholm, Sweden",Sweden,,,"Master of Science, Stockholm School of Economics",True
Salil Singhal,2.2,India,agrochemicals,1444,73,"Delhi, India",India,Married,3,,False
Dean Solon,2.2,United States,solar systems,1444,56,"Gallatin, Tennessee",United States,Married,,"Drop Out, Purdue University",True
Timothy Springer,2.2,United States,biotech,1444,73,"Chestnut Hill, Massachusetts",United States,Married,,"Ph.D, Harvard University; Bachelor of Science, University of California, Berkeley",True
Peter Spuhler,2.2,Switzerland,train cars,1444,61,"Weiningen, Switzerland",Switzerland,Married,2,,True
Tang Yiu,2.2,Hong Kong,fashion retail,1444,87,"Hong Kong, Hong Kong",Hong Kong,Married,2,,True
Tran Dinh Long,2.2,Vietnam,steel,1444,60,"Hanoi, Vietnam",Vietnam,Married,,,True
Anna Katharina Viessmann,2.2,Germany,heating and cooling equipment,1444,,,Germany,,,,False
David Walentas,2.2,United States,real estate,1444,82,"New York, New York",United States,Widowed,1,"Bachelor of Arts/Science, University of Virginia",True
Wu Lanlan & family,2.2,China,packaging,1444,47,"Shenzhen, China",China,Married,2,"Master of Business Administration, Tongji University",True
Wu Yiling,2.2,China,pharmaceuticals,1444,71,"Shijiazhuang, China",China,Married,2,"Medical Doctor, Hebei Medical University; Medical Doctor, Nanjing University of Chinese Medicine",True
Xiang Wenbo,2.2,China,manufacturing,1444,58,"Changsha, China",China,Married,1,"Master of Science, Dalian University of Technology",True
Xie Liangzhi & family,2.2,China,biotech,1444,55,"Beijing, China",China,Married,,"Ph.D, Massachusetts Institute of Technology",True
Xu Yuejuan,2.2,China,Petro Fibre,1444,59,"Hangzhou, China",China,Married,,,True
Shintaro Yamada,2.2,Japan,mobile apps,1444,43,"Tokyo, Japan",Japan,,,,True
Yang Jian,2.2,China,real estate,1444,49,"Wenzhou, China",China,Married,,,True
Gavril Yushvaev,2.2,Russia,"precious metals, real estate",1444,63,"Moscow, Russia",Russia,Married,7,,True
Zhang Jingzhang & family,2.2,China,precision machinery,1444,85,"Ningbo, China",China,,,,True
Michael Ashcroft,2.1,United Kingdom,security,1517,75,"Turks and Caicos Islands, Turks and Caicos Islands",United Kingdom,,,,True
George Bishop,2.1,United States,oil & gas,1517,83,"The Woodlands, Texas",United States,Married,,,True
Julio Bozano,2.1,Brazil,banking,1517,85,"Rio de Janeiro, Brazil",Brazil,Married,1,,True
Herb Chambers,2.1,United States,car dealerships,1517,79,"Boston, Massachusetts",United States,Single,,,True
Andrew & Peggy Cherng,2.1,United States,restaurants,1517,,"Las Vegas, Nevada",United States,Married,,"Master of Arts, University of Missouri; Ph.D, University of Missouri",True
Jacques D'Amours,2.1,Canada,retail,1517,64,"Montreal, Canada",Canada,Married,2,,True
Ray Davis,2.1,United States,pipelines,1517,79,"Dallas, Texas",United States,Married,3,"Master of Business Administration, LeTourneau University's School of Business",True
Diao Zhizhong,2.1,China,software,1517,57,"Beijing, China",China,,,,True
Michael Federmann & family,2.1,Israel,"defense, hotels",1517,77,"Tel Aviv, Israel",Israel,Married,3,,True
William Fisher,2.1,United States,Gap,1517,64,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Princeton University; Master of Business Administration, Stanford University",False
Bernard Fraisse,2.1,France,pharmaceuticals,1517,64,"Paris, France",France,,,,True
Fabricio Garcia,2.1,Brazil,retail,1517,43,"Franca, Brazil",Brazil,Married,,"Bachelor of Business Administration, Universidade de Sao Paulo",False
Flavia Bittar Garcia Faleiros,2.1,Brazil,retail,1517,40,"Sao Paulo, Brazil",Brazil,Married,3,,False
Gordon Getty,2.1,United States,Getty Oil,1517,87,"San Francisco, California",United States,Widowed,7,"Bachelor of Arts/Science, San Francisco Conservatory of Music",False
Philippe Ginestet & family,2.1,France,retail stores,1517,67,"Pujols, France",France,,,,True
Gong Yingying,2.1,China,health IT,1517,36,"Beijing, China",China,Married,,"Bachelor of Arts/Economics, London School of Economics & Political Science",True
Lutz Mario Helmig,2.1,Germany,hospitals,1517,74,"Grebenhain, Germany",Germany,Married,2,,True
Ilkka Herlin,2.1,Finland,"elevators, escalators",1517,62,"Helsinki, Finland",Finland,Married,4,,False
Arthur Xiaobo Hong,2.1,China,e-commerce,1517,49,"Guangzhou, China",China,,,,True
Hong Feng,2.1,China,smartphones,1517,44,"Beijing, China",China,,,"Master of Science, Purdue University; Bachelor of Science in Engineering, Shanghai Jiaotong University",True
Huang Shih Tsai,2.1,Hong Kong,real estate,1517,69,"Shenzhen, China",Hong Kong,Married,2,,True
Jiang Yehua & family,2.1,China,real estate,1517,58,"Chongqing, China",China,,,,True
Keeree Kanjanapas,2.1,Thailand,transportation,1517,70,"Bangkok, Thailand",Thailand,Married,2,,True
Alexander Karp,2.1,United States,software firm,1517,53,"Palo Alto, California",United States,Single,,"Bachelor of Arts/Science, Haverford College; Doctor of Jurisprudence, Stanford University",True
Bruce Karsh,2.1,United States,private equity,1517,65,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Virginia",True
Mustafa Kucuk,2.1,Turkey,fashion retail,1517,57,"Istanbul, Turkey",Turkey,Married,3,,True
Dominika Kulczyk,2.1,Poland,diversified,1517,43,"Warsaw, Poland",Poland,Divorced,2,"Master, University of Poznan",False
Philippe Laffont,2.1,United States,hedge fund,1517,53,"New York, New York",United States,Married,,"Master of Science, Massachusetts Institute of Technology",True
Henry Laufer,2.1,United States,hedge funds,1517,75,"Lake Worth, Florida",United States,Married,,"Bachelor of Arts/Science, City College of New York; Doctorate, Princeton University",True
Frank Laukien,2.1,United States,scientific equipment,1517,61,"Boston, Massachusetts",United States,Married,,"Doctorate, Harvard University; Bachelor of Arts/Science, Massachusetts Institute of Technology",False
Mark Leonard & family,2.1,Canada,software,1517,65,"Toronto, Canada",Canada,,,"Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business; Bachelor of Arts/Science, University of Guelph",True
Li Wanqiang,2.1,China,smartphones,1517,43,"Beijing, China",China,,,,True
Li Weiwei,2.1,China,online games,1517,44,"Shanghai, China",China,,,,True
Lin Chen-hai,2.1,Taiwan,real estate,1517,74,"Taipei, Taiwan",Taiwan,Married,2,,True
Lin Yinsun,2.1,China,agribusiness,1517,57,"Shanghai, China",China,,,"EMBA, China Europe International Business School",True
Liu Zhongtian & family,2.1,China,aluminum products,1517,57,"Liaoyang, China",China,Married,,"Diploma, Liaoning Radio and TV University",True
Daniel Lubetzky,2.1,United States,snack bars,1517,52,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Trinity University of San Antonio",True
Prayudh Mahagitsiri,2.1,Thailand,"coffee, shipping",1517,75,"Bangkok, Thailand",Thailand,Married,3,,False
Igor Makarov,2.1,Russia,investments,1517,59,"Miami, Florida",Russia,Married,2,"Bachelor of Arts/Science, Turkmen State University",True
Kishore Mariwala,2.1,India,consumer goods,1517,86,"Mumbai, India",India,Married,2,"Bachelor of Science in Engineering, Bombay University; Master of Science in Engineering, Massachusetts Institute of Technology",False
Howard Marks,2.1,United States,private equity,1517,75,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True
Katarina Martinson,2.1,Sweden,investments,1517,40,"Stockholm, Sweden",Sweden,Married,,,False
Vincent McMahon,2.1,United States,entertainment,1517,75,"Greenwich, Connecticut",United States,Married,2,"Bachelor of Arts/Science, East Carolina University",True
David Murdock,2.1,United States,"Dole, real estate",1517,98,"Ventura, California",United States,Widowed,3,"Drop Out, High School",True
Vikas Oberoi,2.1,India,real estate,1517,50,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University",False
Erik Paulsson & family,2.1,Sweden,"construction, real estate",1517,79,"Båstad, Sweden",Sweden,Married,,,True
Roger Penske,2.1,United States,cars,1517,84,"Birmingham, Michigan",United States,Married,5,"Drop Out, Lehigh University",True
Florentino Perez,2.1,Spain,construction,1517,74,"Madrid, Spain",Spain,Widowed,3,,True
Phil Ruffin,2.1,United States,"casinos, real estate",1517,86,"Las Vegas, Nevada",United States,Married,5,"Drop Out, Wichita State University",True
Richard Sands,2.1,United States,liquor,1517,70,"Delray Beach, Florida",United States,,,"Doctorate, University of North Carolina; Bachelor of Arts/Science, University of Vermont",False
Robert Sands,2.1,United States,liquor,1517,62,"Delray Beach, Florida",United States,Married,,"Law Degree, Pace University; Bachelor of Arts/Science, Skidmore College",False
Dieter Schnabel,2.1,Germany,chemicals,1517,75,"Hamburg, Germany",Germany,Married,3,,False
Christiane Schoeller,2.1,Germany,publishing,1517,,,Germany,,,,False
Jeffrey Talpins,2.1,United States,hedge fund,1517,46,"Larchmont, New York",United States,Married,,"Bachelor of Arts/Science, Yale University",True
Timur Turlov,2.1,Russia,stock brokerage,1517,33,"Almaty, Kazakhstan",Russia,Married,6,"Bachelor of Science, Moscow State Technical University",True
Sandro Veronesi & family,2.1,Italy,fashion,1517,61,"Milan, Italy",Italy,Married,,"Bachelor of Arts/Science, University of Verona",True
Wang Chou-hsiong,2.1,Taiwan,footwear,1517,80,"Yunlin, Taiwan",Taiwan,Married,2,"Master of Arts/Science, National Central University; Bachelor of Business Administration, National Taiwan University",True
Wang Minwen,2.1,China,semiconductor,1517,57,"Beijing, China",China,,,,True
Weng Xianding,2.1,China,medical devices,1517,59,"Shenzhen, China",China,,,,True
Michael Xie,2.1,United States,cybersecurity,1517,52,"Los Altos Hills, California",United States,Married,,"Master of Science, Tsinghua University; Master of Science, University of Manitoba",True
Yuan Fugen & family,2.1,China,metal processing,1517,70,"Suzhou, China",China,,,,True
Zhao Fenggang,2.1,China,batteries,1517,55,"Ningde, China",China,,,,True
Zhou Zongwen & family,2.1,China,jewelry,1517,64,"Shenzhen, China",China,Married,,,True
S. Daniel Abraham,2.0,United States,Slim-Fast,1580,96,"Palm Beach, Florida",United States,Married,6,"Diploma, High School",True
Isak Andic & family,2.0,Spain,fashion retail,1580,67,"Barcelona, Spain",Spain,Divorced,3,,True
Roberto Angelini Rossi,2.0,Chile,"forestry, mining",1580,72,"Santiago, Chile",Chile,Married,4,"Bachelor of Arts/Science, Pontificia Universidad de Chile",False
Masaaki Arai,2.0,Japan,home sales,1580,55,"Tokyo, Japan",Japan,,,,True
George Argyros & family,2.0,United States,"real estate, investments",1580,84,"Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, Chapman University",True
Pavel Baudis,2.0,Czechia,software,1580,60,"Prague, Czechia",Czechia,Married,2,,True
Anne Beaufour,2.0,France,pharmaceuticals,1580,57,United Kingdom,France,Married,,,False
Henri Beaufour,2.0,France,pharmaceuticals,1580,55,"London, United Kingdom",France,Married,,,False
Brett Blundy,2.0,Australia,"retail, agribusiness",1580,61,"Paradise Island, Bahamas",Australia,Married,2,,True
J. Hyatt Brown,2.0,United States,insurance,1580,83,"Ormond Beach, Florida",United States,Married,,"Bachelor of Arts/Science, University of Florida",False
Dai Wenjun,2.0,China,food,1580,52,"Changsha, China",China,,,,True
Sol Daurella,2.0,Spain,Coca-Cola bottler,1580,55,"Madrid, Spain",Spain,Married,,,False
John de Mol,2.0,Netherlands,TV programs,1580,66,"Blaricum, Netherlands",Netherlands,Single,1,,True
Dou Zhenggang,2.0,China,"energy, chemicals",1580,67,"Hangzhou, China",China,,,,True
Glenn Dubin,2.0,United States,hedge funds,1580,64,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, SUNY Stony Brook",True
John Elkann,2.0,Italy,"FIAT, investments",1580,45,"Turin, Italy",Italy,,,"Bachelor of Engineering, Politecnico di Torino",False
Ibrahim Erdemoglu,2.0,Turkey,carpet,1580,58,"Istanbul, Turkey",Turkey,Married,3,,True
Andy Fang,2.0,United States,food delivery app,1580,28,"MONTE VISTA, California",United States,,,"Bachelor of Arts/Science, Stanford University",True
Fang Hongbo,2.0,China,home appliances,1580,54,"Shunde, China",China,,,,True
Kenneth Feld & family,2.0,United States,live entertainment,1580,72,"Sarasota, Florida",United States,Separated,3,"Bachelor of Arts/Science, Boston University",False
Walter Frey,2.0,Switzerland,car dealerships,1580,77,"Küsnacht, Switzerland",Switzerland,,,"Bachelor of Business Administration, London School of Economics; Bachelor of Business Administration, University of Zurich",False
Yasuhiro Fukushima,2.0,Japan,video games,1580,73,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Nihon University",True
Dennis Gillings,2.0,United Kingdom,drug testing,1580,77,"Durham, North Carolina",United Kingdom,,,,True
Sam Goi,2.0,Singapore,frozen foods,1580,74,"Singapore, Singapore",Singapore,Married,3,,True
Bahaa Hariri,2.0,Lebanon,"real estate, investments",1580,55,"Geneva, Switzerland",Lebanon,Married,,"Bachelor of Arts/Science, Boston University",False
Ilona Herlin,2.0,Finland,"elevators, escalators",1580,56,"Helsinki, Finland",Finland,Married,,,False
Jeffery Hildebrand,2.0,United States,oil,1580,62,"Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin",True
J. Tomilson Hill,2.0,United States,investments,1580,72,"New York, New York",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University",True
Orion Hindawi,2.0,United States,software,1580,41,"Seattle, Washington",United States,Married,2,"Drop Out, University of California, Berkeley",True
Reid Hoffman,2.0,United States,LinkedIn,1580,53,"Palo Alto, California",United States,Married,,"Master of Science, Oxford University; Bachelor of Arts/Science, Stanford University",True
Hou Juncheng,2.0,China,cosmetics,1580,56,"Hangzhou, China",China,,,,True
W. Herbert Hunt,2.0,United States,oil,1580,92,"Dallas, Texas",United States,Married,5,,False
George Joseph,2.0,United States,insurance,1580,99,"Los Angeles, California",United States,Married,5,"Bachelor of Arts/Science, Harvard University",True
Ke Yunfeng & family,2.0,China,retailing,1580,54,"Guangzhou, China",China,,,,True
Sergei Kolesnikov,2.0,Russia,building materials,1580,49,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute of Physics and Technology",True
Thomas Lee,2.0,United States,private equity,1580,77,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, Harvard University",True
Peter Leibinger,2.0,Germany,machine tools,1580,54,"Schwieberdingen, Germany",Germany,Married,4,,False
Regine Leibinger,2.0,Germany,machine tools,1580,58,"Berlin, Germany",Germany,Married,2,,False
Nicola Leibinger-Kammueller,2.0,Germany,manufacturing,1580,61,"Berlin, Germany",Germany,Married,4,,False
Solomon Lew,2.0,Australia,retail,1580,76,"Melbourne, Australia",Australia,Married,3,,True
Li Yong,2.0,China,education,1580,44,"Shanghai, China",China,,,,True
Liu Yachao,2.0,China,education,1580,40,"Beijing, China",China,,,,True
Jeffrey Lorberbaum,2.0,United States,flooring,1580,66,"Chattanooga, Tennessee",United States,Married,,"Bachelor of Arts/Science, University of Denver",False
Jed McCaleb,2.0,United States,cryptocurrency,1580,46,"Berkeley, California",United States,,,,True
Craig McCaw,2.0,United States,telecom,1580,71,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Stanford University",False
Miao Yongjun,2.0,China,clinical diagnostics,1580,53,"Zhengzhou, China",China,,,,True
Robert Miller,2.0,Canada,electronics components,1580,75,"Montreal, Canada",Canada,Divorced,2,"Bachelor of Arts/Science, Rider University",True
Charles Munger,2.0,United States,Berkshire Hathaway,1580,97,"Los Angeles, California",United States,Widowed,8,"Doctor of Jurisprudence, Harvard University; Drop Out, University of Michigan",True
David Nahmad,2.0,Monaco,art collection,1580,74,"New York, New York",Monaco,Married,3,,True
Jonathan Nelson,2.0,United States,private equity,1580,64,"Providence, Rhode Island",United States,"Widowed, Remarried",3,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Harvard University",True
Pierre Karl Péladeau,2.0,Canada,media,1580,59,"Montreal, Canada",Canada,In Relationship,3,,False
Kevin Plank,2.0,United States,Under Armour,1580,48,"Lutherville-Timonium, Maryland",United States,Married,2,"Master of Business Administration, Robert H. Smith School of Business; Bachelor of Arts/Science, University of Maryland",True
Alberto Prada,2.0,Italy,luxury goods,1580,67,"Milan, Italy",Italy,,,,False
Marina Prada,2.0,Italy,luxury goods,1580,75,"Milan, Italy",Italy,,,,False
Mahendra Prasad,2.0,India,pharmaceuticals,1580,81,"Delhi, India",India,Married,,,True
Jennifer Pritzker,2.0,United States,"hotels, investments",1580,70,"Chicago, Illinois",United States,Divorced,3,"Bachelor of Arts/Science, Loyola University Illinois",False
Linda Pritzker,2.0,United States,"hotels, investments",1580,67,"Missoula, Montana",United States,Divorced,3,,False
"Joe Rogers, Jr.",2.0,United States,Waffle House,1580,,"Atlanta, Georgia",United States,Married,,,False
Igor Rybakov,2.0,Russia,building materials,1580,48,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute of Physics and Technology",True
